Season_Number,Guest_Star_Name,Episode_Title
23,Kevin Michael Richardson,"""The Falcon and the D'ohman""[80]"
23,Kiefer Sutherland,"""The Falcon and the D'ohman""[80]"
23,Marcia Wallace,"""The Falcon and the D'ohman"""
23,Theodore Roosevelt (archival),"""Bart Stops to Smell the Roosevelts"""
23,Marcia Wallace,"""Bart Stops to Smell the Roosevelts"""
23,Jackie Mason,"""Treehouse of Horror XXII""[82]"
23,Aron Ralston,"""Treehouse of Horror XXII""[83]"
23,Jane Lynch,"""Replaceable You""[84]"
23,Mario Batali,"""The Food Wife""[85]"
23,Anthony Bourdain,"""The Food Wife""[85]"
23,Tim Heidecker,"""The Food Wife""[85]"
23,Gordon Ramsay,"""The Food Wife""[85]"
23,Eric Wareheim,"""The Food Wife""[85]"
23,Neil Gaiman,"""The Book Job""[86]"
23,Andy García,"""The Book Job""[86]"
23,Kevin Michael Richardson,"""The Man in the Blue Flannel Pants""[87]"
23,John Slattery,"""The Man in the Blue Flannel Pants""[87]"
23,Matthew Weiner,"""The Man in the Blue Flannel Pants""[87]"
23,Kevin Dillon,"""The Ten-Per-Cent Solution""[88]"
23,Janeane Garofalo,"""The Ten-Per-Cent Solution""[88]"
23,Jackie Mason,"""The Ten-Per-Cent Solution""[88]"
23,Joan Rivers,"""The Ten-Per-Cent Solution""[88]"
23,Matt Groening,"""Holidays of Future Passed""[88]"
23,Dana Gould,"""Politically Inept, with Homer Simpson""[89]"
23,Ted Nugent,"""Politically Inept, with Homer Simpson""[89]"
23,Armie Hammer,"""The D'oh-cial Network""[90]"
23,David Letterman,"""The D'oh-cial Network""[91]"
23,Tiger Lillies,"""The D'oh-cial Network""[91]"
23,Jeremy Irons,"""Moe Goes from Rags to Riches""[92]"
23,Michael Cera,"""The Daughter Also Rises""[93]"
23,Jamie Hyneman,"""The Daughter Also Rises""[93]"
23,Adam Savage,"""The Daughter Also Rises""[93]"
23,Julian Assange,"""At Long Last Leave""[94]"
23,Kelsey Grammer,"""At Long Last Leave""[95]"
23,Alison Krauss and Union Station,"""At Long Last Leave""[95]"
23,Susie Stevens,"""At Long Last Leave"""
23,Jackie Mason,"""At Long Last Leave""[95]"
23,Robbie Conal,"""Exit Through the Kwik-E-Mart""[96]"
23,Ron English,"""Exit Through the Kwik-E-Mart""[96]"
23,Shepard Fairey,"""Exit Through the Kwik-E-Mart""[96]"
23,Nicholas McKaig,"""Exit Through the Kwik-E-Mart[97]"
23,Kenny Scharf,"""Exit Through the Kwik-E-Mart""[96]"
23,David Byrne,"""How I Wet Your Mother""[98]"
23,Glenn Close,"""How I Wet Your Mother""[98]"
23,Brent Spiner,"""Them, Robot""[99]"
23,Kevin Michael Richardson,"""Beware My Cheating Bart""[100]"
23,Steve Coogan,"""A Totally Fun Thing That Bart Will Never Do Again""[101]"
23,Renee Ridgeley,"""A Totally Fun Thing That Bart Will Never Do Again"""
23,Treat Williams,"""A Totally Fun Thing That Bart Will Never Do Again""[101]"
23,Bryan Cranston,"""The Spy Who Learned Me""[102]"
23,Eric Idle,"""The Spy Who Learned Me""[103]"
23,Marcia Wallace,"""The Spy Who Learned Me"""
23,Marcia Wallace,"""Ned 'n Edna's Blend"""
23,Lady Gaga,"""Lisa Goes Gaga""[104]"
23,Kevin Michael Richardson,"""Lisa Goes Gaga""[105]"
24,Ken Burns,"""Moonshine River""[106]"
24,Zooey Deschanel,"""Moonshine River""[106]"
24,Sarah Michelle Gellar,"""Moonshine River""[106]"
24,Anne Hathaway,"""Moonshine River""[106]"
24,Maurice LaMarche,"""Moonshine River""[106]"
24,Don Pardo,"""Moonshine River""[106]"
24,Natalie Portman,"""Moonshine River""[106]"
