,Season,Guest star,Episode title
367,10,Mark Hamill,"""Mayored to the Mob""[222][223]"
368,10,Joe Mantegna,"""Mayored to the Mob""[223]"
369,10,Dick Tufeld,"""Mayored to the Mob""[223]"
370,10,Marcia Wallace,"""Mayored to the Mob"""
371,10,The Moody Blues[M],"""Viva Ned Flanders""[224]"
372,10,Marcia Wallace,"""Viva Ned Flanders"""
373,10,Cyndi Lauper,"""Wild Barts Can't Be Broken""[225]"
374,10,Franklin D. Roosevelt (archival),"""Wild Barts Can't Be Broken"""
375,10,Marcia Wallace,"""Wild Barts Can't Be Broken"""
376,10,Troy Aikman,"""Sunday, Cruddy Sunday""[226]"
377,10,Rosey Grier,"""Sunday, Cruddy Sunday""[226]"
378,10,John Madden,"""Sunday, Cruddy Sunday""[226]"
379,10,Dan Marino,"""Sunday, Cruddy Sunday""[226]"
380,10,Rupert Murdoch,"""Sunday, Cruddy Sunday""[226][227]"
381,10,Dolly Parton,"""Sunday, Cruddy Sunday""[226]"
382,10,Pat Summerall,"""Sunday, Cruddy Sunday""[226]"
383,10,Fred Willard,"""Sunday, Cruddy Sunday""[226]"
384,10,"Ed Begley, Jr.","""Homer to the Max""[228]"
385,10,Jan Hooks,"""I'm with Cupid""[229]"
386,10,Elton John,"""I'm with Cupid""[229]"
387,10,Marcia Wallace,"""I'm with Cupid"""
388,10,John Kassir,"""Marge Simpson in: ""Screaming Yellow Honkers""""[70]"
389,10,Marcia Wallace,"""Marge Simpson in: ""Screaming Yellow Honkers"""""
390,10,"Hank Williams, Jr.","""Marge Simpson in: ""Screaming Yellow Honkers""""[70]"
391,10,Marcia Wallace,"""Simpsons Bible Stories"""
392,10,Michael Dees,"""Mom and Pop Art"""
393,10,Jasper Johns,"""Mom and Pop Art""[230]"
394,10,Isabella Rossellini,"""Mom and Pop Art""[230]"
395,10,Marcia Wallace,"""Mom and Pop Art"""
396,10,Jack LaLanne,"""The Old Man and the ""C"" Student""[231]"
397,10,NRBQ,"""The Old Man and the ""C"" Student""[231]"
398,10,Michael McKean,"""Monty Can't Buy Me Love""[232]"
399,10,Stephen Hawking,"""They Saved Lisa's Brain""[233]"
400,10,Denice Kumagai,"""Thirty Minutes over Tokyo""[234]"
401,10,Karen Maruyama,"""Thirty Minutes over Tokyo""[234]"
402,10,George Takei,"""Thirty Minutes over Tokyo""[235]"
403,10,Gedde Watanabe,"""Thirty Minutes over Tokyo""[234]"
404,10,Keone Young,"""Thirty Minutes over Tokyo""[234]"
405,11,Jack Burns,"""Beyond Blunderdome""[236]"
406,11,Mel Gibson,"""Beyond Blunderdome""[236]"
407,11,Marcia Wallace,"""Beyond Blunderdome"""
408,11,Mark McGwire,"""Brother's Little Helper""[237]"
409,11,Marcia Wallace,"""Brother's Little Helper"""
410,11,Edward Asner,"""Guess Who's Coming to Criticize Dinner?""[238]"
411,11,Marcia Wallace,"""Guess Who's Coming to Criticize Dinner?"""
412,11,Tom Arnold,"""Treehouse of Horror X""[239]"
413,11,Dick Clark,"""Treehouse of Horror X""[239]"
414,11,Lucy Lawless,"""Treehouse of Horror X""[239]"
415,11,Frank Welker,"""Treehouse of Horror X""[70]"
416,11,The B-52's,"""E-I-E-I-(Annoyed Grunt)""[240]"
417,11,Marcia Wallace,"""E-I-E-I-(Annoyed Grunt)"""
418,11,Frank Welker,"""E-I-E-I-(Annoyed Grunt)""[70]"
419,11,Ron Howard,"""Hello Gutter, Hello Fadder""[241]"
420,11,Penn Jillette,"""Hello Gutter, Hello Fadder""[241]"
421,11,Pat O'Brien,"""Hello Gutter, Hello Fadder""[241]"
422,11,Nancy O'Dell,"""Hello Gutter, Hello Fadder""[241]"
423,11,Teller,"""Hello Gutter, Hello Fadder""[241]"
424,11,Marcia Wallace,"""Hello Gutter, Hello Fadder"""
425,11,Jan Hooks,"""Eight Misbehavin'""[242]"
426,11,Garry Marshall,"""Eight Misbehavin'""[242]"
427,11,Butch Patrick,"""Eight Misbehavin'""[242]"
428,11,Marcia Wallace,"""Eight Misbehavin'"""
429,11,Frank Welker,"""Eight Misbehavin'""[243]"
430,11,John Goodman,"""Take My Wife, Sleaze""[244]"
431,11,Jan Hooks,"""Take My Wife, Sleaze""[244]"
432,11,Jay North,"""Take My Wife, Sleaze""[244]"
433,11,NRBQ,"""Take My Wife, Sleaze""[244]"
434,11,Marcia Wallace,"""Take My Wife, Sleaze"""
435,11,Henry Winkler,"""Take My Wife, Sleaze""[244]"
436,11,Clarence Clemons,"""Grift of the Magi""[245]"
437,11,Gary Coleman,"""Grift of the Magi""[245]"
438,11,Joe Mantegna,"""Grift of the Magi""[245]"
439,11,Tim Robbins,"""Grift of the Magi""[245]"
440,11,Marcia Wallace,"""Grift of the Magi"""
441,11,Elwood Edwards,"""Little Big Mom""[246]"
442,11,Marcia Wallace,"""Little Big Mom"""
443,11,Don Cheadle,"""Faith Off""[247]"
444,11,Joe Mantegna,"""Faith Off""[247]"
445,11,Marcia Wallace,"""Faith Off"""
446,11,Britney Spears,"""The Mansion Family""[248]"
447,11,Randy Bachman,"""Saddlesore Galactica""[249]"
448,11,Jim Cummings,"""Saddlesore Galactica""[70]"
449,11,Trevor Denman,"""Saddlesore Galactica""[249]"
450,11,Fred Turner,"""Saddlesore Galactica""[249]"
451,11,Shawn Colvin,"""Alone Again, Natura-Diddily""[250]"
452,11,Marcia Wallace,"""Alone Again, Natura-Diddily"""
453,11,Frank Welker,"""Alone Again, Natura-Diddily""[70]"
454,11,Betty White,"""Missionary: Impossible""[251]"
455,11,Marcia Wallace,"""Pygmoelian"""
456,11,Marcia Wallace,"""Days of Wine and D'oh'ses"""
457,11,Diedrich Bader,"""Kill the Alligator and Run""[252]"
458,11,Joe C.,"""Kill the Alligator and Run""[252]"
459,11,Robert Evans,"""Kill the Alligator and Run""[252]"
460,11,Kid Rock,"""Kill the Alligator and Run""[252]"
461,11,Charlie Rose,"""Kill the Alligator and Run""[252]"
462,11,Frank Welker,"""Last Tap Dance in Springfield""[70]"
463,11,Parker Posey,"""It's a Mad, Mad, Mad, Mad Marge""[253]"
464,11,Marcia Wallace,"""It's a Mad, Mad, Mad, Mad Marge"""
465,11,Marc Wilmore,"""It's a Mad, Mad, Mad, Mad Marge""[70]"
466,11,Jim Forbes,"""Behind the Laughter""[254]"
467,11,Willie Nelson,"""Behind the Laughter""[254]"
468,11,Marcia Wallace,"""Behind the Laughter"""
469,12,Frank Welker,"""Treehouse of Horror XI"""
470,12,Gary Coleman,"""A Tale of Two Springfields""[255]"
471,12,Marcia Wallace,"""A Tale of Two Springfields"""
472,12,Frank Welker,"""A Tale of Two Springfields""[70]"
473,12,The Who[N],"""A Tale of Two Springfields""[255]"
474,12,Drew Barrymore,"""Insane Clown Poppy""[256]"
475,12,Stephen King,"""Insane Clown Poppy""[256]"
476,12,Joe Mantegna,"""Insane Clown Poppy""[256]"
477,12,Jay Mohr,"""Insane Clown Poppy""[256]"
478,12,Amy Tan,"""Insane Clown Poppy""[256]"
479,12,John Updike,"""Insane Clown Poppy""[256]"
480,12,Joshua Jackson,"""Lisa the Tree Hugger""[257]"
481,12,Leeza Gibbons,"""Homer vs. Dignity""[258]"
482,12,Marcia Wallace,"""Homer vs. Dignity"""
483,12,Patrick McGoohan,"""The Computer Wore Menace Shoes""[259]"
484,12,Marcia Wallace,"""The Computer Wore Menace Shoes"""
485,12,Edward Norton,"""The Great Money Caper""[260]"
486,12,Marcia Wallace,"""Skinner's Sense of Snow"""
487,12,Michael Keaton,"""Pokey Mom""[261]"
488,12,Charles Napier,"""Pokey Mom""[261]"
489,12,Robert Schimmel,"""Pokey Mom""[261]"
490,12,Bruce Vilanch,"""Pokey Mom""[261]"
491,12,Marcia Wallace,"""Pokey Mom"""
492,12,Neil Armstrong (archival),"""Worst Episode Ever"""
493,12,Johnnie Cochran (archival),"""Worst Episode Ever"""
494,12,Richard Nixon (archival),"""Worst Episode Ever"""
495,12,Tom Savini,"""Worst Episode Ever""[262]"
496,12,Andre Agassi,"""Tennis the Menace""[263]"
497,12,Pete Sampras,"""Tennis the Menace""[263]"
498,12,Marcia Wallace,"""Tennis the Menace"""
499,12,Serena Williams,"""Tennis the Menace""[263]"
500,12,Venus Williams,"""Tennis the Menace""[263]"
501,12,Gary Coleman,"""Day of the Jackanapes""[264]"
502,12,Kelsey Grammer,"""Day of the Jackanapes""[264]"
503,12,'N Sync[O],"""New Kids on the Blecch""[265]"
504,12,Tony Battaglia,"""New Kids on the Blecch""[266]"
505,12,Ben Bledsoe,"""New Kids on the Blecch""[266]"
506,12,"Michael ""J"" Horn","""New Kids on the Blecch""[266]"
507,12,Marc Terenzi,"""New Kids on the Blecch""[266]"
508,12,Stacy Keach,"""Hungry, Hungry Homer""[267]"
509,12,Marcia Wallace,"""Hungry, Hungry Homer"""
510,12,Kathy Griffin,"""Bye Bye Nerdie""[268]"
511,12,Jan Hooks,"""Bye Bye Nerdie""[268]"
512,12,Marcia Wallace,"""Bye Bye Nerdie"""
513,12,Frank Welker,"""Simpson Safari""[70]"
514,12,Joe Mantegna,"""Trilogy of Error""[269]"
515,12,Frankie Muniz,"""Trilogy of Error""[269]"
516,12,Shawn Colvin,"""I'm Goin' to Praiseland""[270]"
517,12,Marcia Wallace,"""I'm Goin' to Praiseland"""
518,12,Marcia Wallace,"""Simpsons Tall Tales"""
519,12,Frank Welker,"""Simpsons Tall Tales""[70]"
520,13,Pierce Brosnan,"""Treehouse of Horror XII""[271]"
521,13,Matthew Perry,"""Treehouse of Horror XII""[271]"
522,13,Marcia Wallace,"""Treehouse of Horror XII"""
523,13,Jess Harnell,"""The Parent Rap""[70]"
524,13,Jane Kaczmarek,"""The Parent Rap""[272]"
525,13,Marcia Wallace,"""The Parent Rap"""
526,13,R.E.M.[P],"""Homer the Moe""[273]"
527,13,Julia Louis-Dreyfus,"""A Hunka Hunka Burns in Love""[274]"
528,13,George Takei,"""A Hunka Hunka Burns in Love""[274]"
529,13,Joe Mantegna,"""The Blunder Years""[275]"
530,13,Paul Newman,"""The Blunder Years""[275]"
531,13,Judith Owen,"""The Blunder Years""[275]"
532,13,Richard Gere,"""She of Little Faith""[276]"
533,13,Jane Kaczmarek,"""Brawl in the Family""[277]"
534,13,Delroy Lindo,"""Brawl in the Family""[277]"
535,13,Ben Stiller,"""Sweets and Sour Marge""[278]"
536,13,Dana Gould,"""Jaws Wired Shut""[70]"
537,13,John Kassir,"""Jaws Wired Shut""[70]"
538,13,Jon Lovitz,"""Half-Decent Proposal""[279]"
539,13,Marcia Wallace,"""Half-Decent Proposal"""
540,13,Wolfgang Puck,"""The Bart Wants What It Wants""[280]"
541,13,Reese Witherspoon,"""The Bart Wants What It Wants""[280]"
542,13,Dennis Weaver,"""The Lastest Gun in the West""[281]"
543,13,Frank Welker,"""The Lastest Gun in the West""[281]"
544,13,Olympia Dukakis,"""The Old Man and the Key""[282]"
545,13,Bill Saluga,"""The Old Man and the Key""[282]"
546,13,Sally Stevens,"""Tales from the Public Domain"""
547,13,Phish[Q],"""Weekend at Burnsie's""[283]"
548,13,Stan Lee,"""I Am Furious (Yellow)""[284]"
549,13,Marcia Wallace,"""I Am Furious (Yellow)"""
550,13,James Lipton,"""The Sweetest Apu""[285]"
551,13,Robert Pinsky,"""Little Girl in the Big Ten""[286]"
552,13,Carmen Electra,"""The Frying Game""[287]"
553,13,Frances Sternhagen,"""The Frying Game""[287]"
554,13,Joe Mantegna,"""Poppa's Got a Brand New Badge""[288]"
555,13,Marcia Wallace,"""Poppa's Got a Brand New Badge"""
556,14,Elvis Costello,"""How I Spent My Strummer Vacation""[289]"
557,14,Mick Jagger,"""How I Spent My Strummer Vacation""[289]"
558,14,Lenny Kravitz,"""How I Spent My Strummer Vacation""[289]"
559,14,Tom Petty,"""How I Spent My Strummer Vacation""[289]"
560,14,Keith Richards,"""How I Spent My Strummer Vacation""[289]"
561,14,Brian Setzer,"""How I Spent My Strummer Vacation""[289]"
562,14,Marcia Wallace,"""How I Spent My Strummer Vacation"""
563,14,Tony Bennett,"""Bart vs. Lisa vs. the Third Grade""[290]"
564,14,Marcia Wallace,"""Bart vs. Lisa vs. the Third Grade"""
565,14,Baha Men[R],"""Large Marge""[291]"
566,14,Jan Hooks,"""Large Marge""[291]"
567,14,Marcia Wallace,"""Large Marge"""
568,14,Burt Ward,"""Large Marge""[291]"
569,14,Adam West,"""Large Marge""[291]"
570,14,Larry Holmes,"""Helter Shelter""[292]"
571,14,David Lander,"""Helter Shelter""[292]"
572,14,Kelsey Grammer,"""The Great Louse Detective""[293]"
573,14,Sally Stevens,"""The Great Louse Detective""[293]"
574,14,Little Richard,"""Special Edna""[294]"
575,14,Marcia Wallace,"""Special Edna"""
576,14,Elliott Gould,"""The Dad Who Knew Too Little""[295]"
577,14,Pamela Reed,"""Strong Arms of the Ma""[296]"
578,14,Ken Burns,"""Pray Anything"""
579,14,Lisa Leslie,"""Pray Anything""[297]"
580,14,Blink-182[S],"""Barting Over""[298]"
581,14,Tony Hawk,"""Barting Over""[298]"
582,14,Jane Kaczmarek,"""Barting Over""[298]"
583,14,Marcia Wallace,"""Barting Over"""
584,14,George Plimpton,"""I'm Spelling as Fast as I Can""[299]"
585,14,James L. Brooks,"""A Star Is Born Again""[300]"
586,14,Helen Fielding,"""A Star Is Born Again""[300]"
587,14,Gene Merlino,"""A Star Is Born Again"""
588,14,Marisa Tomei,"""A Star Is Born Again""[300]"
589,14,Marcia Wallace,"""A Star Is Born Again"""
590,14,Joe Mantegna,"""Mr. Spritz Goes to Washington""[301]"
591,14,Eric Idle,"""'Scuse Me While I Miss the Sky""[302]"
592,14,Joe Mantegna,"""'Scuse Me While I Miss the Sky""[302]"
593,14,Marcia Wallace,"""'Scuse Me While I Miss the Sky"""
594,14,Terry W. Greene,"""Three Gays of the Condo"""
595,14,Ben Schatz,"""Three Gays of the Condo""[303]"
596,14,Scott Thompson,"""Three Gays of the Condo""[303]"
597,14,"""Weird Al"" Yankovic","""Three Gays of the Condo""[303]"
598,14,David Byrne,"""Dude, Where's My Ranch?""[304]"
599,14,Andy Serkis,"""Dude, Where's My Ranch?""[304]"
600,14,Jonathan Taylor Thomas,"""Dude, Where's My Ranch?""[304]"
601,14,Stacy Keach,"""Old Yeller Belly""[305]"
602,14,John Kassir,"""Old Yeller Belly""[70]"
603,14,Jackson Browne,"""Brake My Wife, Please""[306]"
604,14,Steve Buscemi,"""Brake My Wife, Please""[306]"
605,14,Jane Kaczmarek,"""Brake My Wife, Please""[306]"
606,14,Marcia Wallace,"""Brake My Wife, Please"""
607,14,Joe Mantegna,"""Moe Baby Blues""[307]"
608,15,Oscar De La Hoya,"""Treehouse of Horror XIV""[308]"
609,15,Jennifer Garner,"""Treehouse of Horror XIV""[308]"
610,15,Dudley R. Herschbach,"""Treehouse of Horror XIV""[308]"
611,15,Jerry Lewis,"""Treehouse of Horror XIV""[308]"
612,15,Glenn Close,"""My Mother the Carjacker""[309]"
613,15,Michael Moore,"""The President Wore Pearls""[310]"
614,15,Marcia Wallace,"""The President Wore Pearls"""
615,15,Tony Blair,"""The Regina Monologues""[311]"
616,15,Jane Leeves,"""The Regina Monologues""[311]"
617,15,Evan Marriott,"""The Regina Monologues""[311]"
618,15,Ian McKellen,"""The Regina Monologues""[311]"
619,15,J. K. Rowling,"""The Regina Monologues""[311]"
620,15,Charles Napier,"""The Fat and the Furriest""[312]"
621,15,Jackie Mason,"""Today I Am A Clown""[313]"
622,15,Mr. T,"""Today I Am A Clown""[313]"
623,15,Jim Gilstrap,"""'Tis the Fifteenth Season""[70]"
624,15,Marcia Wallace,"""Marge vs. Singles, Seniors, Childless Couples and Teens and Gays"""
625,15,Tom Clancy,"""Diatribe of a Mad Housewife""[314]"
626,15,Ashley Olsen,"""Diatribe of a Mad Housewife""[314]"
627,15,Mary-Kate Olsen,"""Diatribe of a Mad Housewife""[314]"
628,15,Thomas Pynchon,"""Diatribe of a Mad Housewife""[314]"
629,15,Nick Bakay,"""Milhouse Doesn't Live Here Anymore""[315]"
630,15,William Daniels,"""Milhouse Doesn't Live Here Anymore""[315]"
631,15,Isabel Sanford,"""Milhouse Doesn't Live Here Anymore""[315]"
632,15,Dick Tufeld,"""Milhouse Doesn't Live Here Anymore""[315]"
633,15,Marcia Wallace,"""Milhouse Doesn't Live Here Anymore"""
634,15,Simon Cowell,"""Smart and Smarter""[316]"
635,15,Jon Lovitz,"""The Ziff Who Came to Dinner""[317]"
636,15,Brave Combo,"""Co-Dependent's Day""[318]"
637,15,Marcia Wallace,"""Co-Dependent's Day"""
638,15,Sarah Michelle Gellar,"""The Wandering Juvie""[319]"
639,15,Jane Kaczmarek,"""The Wandering Juvie""[319]"
640,15,Charles Napier,"""The Wandering Juvie""[319]"
641,15,Marcia Wallace,"""The Wandering Juvie"""
642,15,Matt Groening,"""My Big Fat Geek Wedding""[320]"
643,15,Marcia Wallace,"""My Big Fat Geek Wedding"""
644,15,Mark Campbell,"""Simple Simpson""[70]"
645,15,Nichelle Nichols,"""Simple Simpson""[70][321]"
646,15,Marcia Wallace,"""The Bart-Mangled Banner"""
647,16,Marie Cain,"""Treehouse of Horror XV"""
648,16,James Caan,"""All's Fair in Oven War""[322]"
649,16,Thomas Pynchon,"""All's Fair in Oven War""[322]"
650,16,Marcia Wallace,"""All's Fair in Oven War"""
651,16,Marcia Wallace,"""Sleeping with the Enemy"""
652,16,Kim Cattrall,"""She Used to Be My Girl""[323]"
653,16,Michael Dees,"""She Used to Be My Girl"""
654,16,Terry W. Greene,"""Fat Man and Little Boy"""
655,16,Eric Idle,"""Fat Man and Little Boy""[324]"
656,16,Tom Brady,"""Homer and Ned's Hail Mary Pass""[325]"
657,16,LeBron James,"""Homer and Ned's Hail Mary Pass""[325]"
658,16,Michelle Kwan,"""Homer and Ned's Hail Mary Pass""[325]"
659,16,Warren Sapp,"""Homer and Ned's Hail Mary Pass""[325]"
660,16,Yao Ming,"""Homer and Ned's Hail Mary Pass""[325]"
661,16,50 Cent,"""Pranksta Rap""[326]"
662,16,Dana Gould,"""Pranksta Rap"""
663,16,Marcia Wallace,"""There's Something About Marrying"""
664,16,Gary Busey,"""On a Clear Day I Can't See My Sister""[327]"
665,16,Jane Kaczmarek,"""On a Clear Day I Can't See My Sister""[327]"
666,16,Marcia Wallace,"""On a Clear Day I Can't See My Sister"""
667,16,Lucy Liu,"""Goo Goo Gai Pan""[328]"
668,16,Robert Wagner,"""Goo Goo Gai Pan""[328]"
669,16,Frank Gehry,"""The Seven-Beer Snitch""[329]"
670,16,Joe Mantegna,"""The Seven-Beer Snitch""[329]"
671,16,Charles Napier,"""The Seven-Beer Snitch""[329]"
672,16,John DiMaggio,"""Future-Drama""[330]"
673,16,Amy Poehler,"""Future-Drama""[330]"
674,16,Marcia Wallace,"""Future-Drama"""
675,16,Stephen Hawking,"""Don't Fear the Roofer""[331]"
676,16,Ray Romano,"""Don't Fear the Roofer""[331]"
677,16,Albert Brooks,"""The Heartbroke Kid""[332]"
678,16,Marcia Wallace,"""The Heartbroke Kid"""
679,16,Fantasia Barrino,"""A Star Is Torn""[333]"
680,16,Baha Men,"""Thank God, It's Doomsday""[334]"
681,16,Los Lobos,"""Thank God, It's Doomsday""[335]"
682,16,Jason Bateman,"""Home Away from Homer""[336]"
683,16,Liam Neeson,"""The Father, the Son, and the Holy Guest Star""[337]"
684,16,Marcia Wallace,"""The Father, the Son, and the Holy Guest Star"""
685,17,Alec Baldwin,"""Bonfire of the Manatees""[338]"
686,17,Joe Mantegna,"""Bonfire of the Manatees""[338]"
687,17,Terry Bradshaw,"""Treehouse of Horror XVI""[339]"
688,17,Terry W. Greene,"""Treehouse of Horror XVI"""
689,17,Dennis Rodman,"""Treehouse of Horror XVI""[339]"
690,17,Lily Tomlin,"""The Last of the Red Hat Mamas""[340]"
691,17,Maria Grazia Cucinotta,"""The Italian Bob""[341]"
692,17,Kelsey Grammer,"""The Italian Bob""[341]"
693,17,Marcia Wallace,"""The Italian Bob"""
694,17,Joe Frazier,"""Homer's Paternity Coot""[342]"
695,17,William H. Macy,"""Homer's Paternity Coot""[342]"
696,17,Michael York,"""Homer's Paternity Coot""[342]"
697,17,Marcia Wallace,"""We're on the Road to D'ohwhere"""
698,17,Marcia Wallace,"""My Fair Laddy"""
699,17,Michael Dees,"""The Seemingly Never-Ending Story"""
700,17,Maurice LaMarche,"""The Seemingly Never-Ending Story""[343]"
701,17,Marcia Wallace,"""The Seemingly Never-Ending Story"""
702,17,Antonio Fargas,"""Bart Has Two Mommies""[344]"
703,17,Randy Johnson,"""Bart Has Two Mommies""[344]"
704,17,Susan Sarandon,"""Bart Has Two Mommies""[344]"
705,17,Dave Thomas,"""Bart Has Two Mommies""[344]"
706,17,Ricky Gervais,"""Homer Simpson, This Is Your Wife""[345]"
707,17,Marcia Wallace,"""Homer Simpson, This Is Your Wife"""
708,17,Michael Carrington,"""Million Dollar Abie""[70]"
709,17,Rob Reiner,"""Million Dollar Abie""[346]"
710,17,Richard Dean Anderson,"""Kiss Kiss, Bang Bangalore""[347]"
711,17,Meher Tatna,"""Kiss Kiss, Bang Bangalore""[70]"
712,17,Amick Byram,"""Girls Just Want to Have Sums"""
713,17,Jim Gilstrap,"""Girls Just Want to Have Sums""[70]"
714,17,Bob Joyce,"""Girls Just Want to Have Sums"""
715,17,Frances McDormand,"""Girls Just Want to Have Sums""[348]"
716,17,Sally Stevens,"""Girls Just Want to Have Sums"""
717,17,Marcia Wallace,"""Girls Just Want to Have Sums"""
718,17,Oren Waters,"""Girls Just Want to Have Sums"""
719,17,Sal Bando,"""Regarding Margie""[349]"
720,17,Gene Tenace,"""Regarding Margie""[349]"
721,17,Marcia Wallace,"""Regarding Margie"
722,17,Melanie Griffith,"""The Monkey Suit""[350]"
723,17,Larry Hagman,"""The Monkey Suit""[350]"
724,17,Stacy Keach,"""Marge and Homer Turn a Couple Play""[351]"
725,17,Mandy Moore,"""Marge and Homer Turn a Couple Play""[351]"
726,18,Michael Imperioli,"""The Mook, the Chef, the Wife and Her Homer""[352]"
727,18,Joe Mantegna,"""The Mook, the Chef, the Wife and Her Homer""[352]"
728,18,Metallica[T],"""The Mook, the Chef, the Wife and Her Homer""[352]"
729,18,Joe Pantoliano,"""The Mook, the Chef, the Wife and Her Homer""[352]"
730,18,Larina Jean Adamson,"""Jazzy and the Pussycats"""
731,18,The White Stripes[U],"""Jazzy and the Pussycats""[353]"
732,18,Fran Drescher,"""Treehouse of Horror XVII""[354]"
733,18,Maurice LaMarche,"""Treehouse of Horror XVII""[354]"
734,18,Richard Lewis,"""Treehouse of Horror XVII""[354]"
735,18,Phil McGraw,"""Treehouse of Horror XVII""[354]"
736,18,Sir Mix-a-Lot,"""Treehouse of Horror XVII""[354]"
737,18,Marcia Wallace,"""Treehouse of Horror XVII"""
738,18,Maurice LaMarche,"""G.I. (Annoyed Grunt)""[355]"
739,18,Kiefer Sutherland,"""G.I. (Annoyed Grunt)""[355]"
740,18,Michael Chabon,"""Moe'N'a Lisa""[356]"
741,18,Jonathan Franzen,"""Moe'N'a Lisa""[356]"
742,18,J. K. Simmons,"""Moe'N'a Lisa""[356]"
743,18,Gore Vidal,"""Moe'N'a Lisa""[356]"
744,18,Tom Wolfe,"""Moe'N'a Lisa""[356]"
745,18,Elvis Stojko,"""Kill Gil, Volumes I & II""[357]"
746,18,Dana Gould,"""The Wife Aquatic"""
747,18,Maurice LaMarche,"""The Wife Aquatic""[358]"
748,18,Sab Shimono,"""The Wife Aquatic""[358]"
749,18,Natalie Portman,"""Little Big Girl""[359]"
750,18,Eric Idle,"""Springfield Up""[360]"
751,18,Peter Bogdanovich,"""Yokel Chords""[361]"
752,18,Andy Dick,"""Yokel Chords""[361]"
753,18,James Patterson,"""Yokel Chords""[361]"
754,18,Meg Ryan,"""Yokel Chords""[361]"
755,18,Stephen Sondheim,"""Yokel Chords""[361]"
756,18,Marcia Wallace,"""Yokel Chords"""
757,18,Jane Kaczmarek,"""Rome-old and Juli-eh""[362]"
758,18,Jon Lovitz,"""Homerazzi""[363]"
759,18,J. K. Simmons,"""Homerazzi""[363]"
760,18,Betty White,"""Homerazzi""[363]"
761,18,Ronaldo,"""Marge Gamer""[364]"
762,18,Marcia Wallace,"""Marge Gamer"""
